Sport,TotPkts,TotBytes,SrcPkts,DstPkts,SrcBytes,service,flag,protocol_type,count,srv_count,dst_host_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_bytes,class
64837,18,1152,10,8,644,other,SF,udp,5,1,130,0.01,0.54,105,0
64836,18,1152,10,8,644,ftp_data,SF,tcp,1,1,3,1,0,0,1
64839,18,1152,10,8,644,http,SF,tcp,1,1,4,1,0,10111,0
64840,18,1152,10,8,644,http,SF,tcp,8,10,8,1,0,14073,0
64841,18,1152,10,8,644,http,SF,tcp,1,1,85,1,0,1397,0
64842,18,1152,10,8,644,ecr_i,SF,icmp,308,308,255,1,0,0,1
64843,18,1152,10,8,644,telnet,S1,tcp,2,1,255,0.01,0.02,16934,0
64846,18,1152,10,8,644,http,SF,tcp,20,20,255,1,0,337,0
64844,18,1152,10,8,644,http,REJ,tcp,1,2,2,1,0,0,0
64845,18,1152,10,8,644,domain,S0,tcp,276,9,255,0.04,0.07,0,1
64847,18,1152,10,8,644,http,S0,tcp,131,2,255,0.01,0.07,0,1
64849,18,1152,10,8,644,private,S0,tcp,122,16,255,0.01,0.07,0,1
64848,18,1152,10,8,644,private,SF,udp,1,1,1,1,0,0,1
64850,18,1152,10,8,644,private,S0,tcp,293,11,255,0.02,0.07,0,1
64851,18,1152,10,8,644,Z39_50,REJ,tcp,224,4,255,0.02,0.07,0,1
64854,20,1276,10,10,644,eco_i,SF,icmp,1,1,4,1,0,0,1
64852,20,1276,10,10,644,private,S0,tcp,138,1,255,0.02,0.06,0,1
64853,20,1276,10,10,644,smtp,SF,tcp,1,1,182,0.83,0.02,374,0
64855,20,1276,10,10,644,private,REJ,tcp,140,6,255,0.02,0.07,0,1
64856,20,1276,10,10,644,http,SF,tcp,1,5,255,0.96,0.01,5163,0
64857,20,1276,10,10,644,echo,S0,tcp,265,3,255,0.01,0.07,0,1
64858,20,1276,10,10,644,netbios_dgm,S0,tcp,274,5,255,0.02,0.07,0,1
64859,20,1276,10,10,644,ntp_u,SF,udp,1,1,42,0.86,0.07,48,0
1740,354,90872,204,150,65672,bgp,S0,tcp,278,20,255,0.08,0.08,0,1
64863,18,1152,10,8,644,http,SF,tcp,1,1,7,1,0,3990,0
64860,18,1152,10,8,644,private,S0,tcp,43,8,255,0.03,0.07,0,1
64861,18,1152,10,8,644,http,SF,tcp,4,4,88,1,0,6825,0
64862,18,1152,10,8,644,http,SF,tcp,1,3,84,1,0,7527,0
64864,18,1152,10,8,644,domain_u,SF,udp,281,281,255,0.98,0.01,130,0
64865,18,1152,10,8,644,gopher,S0,tcp,234,7,255,0.03,0.07,0,1
64866,18,1152,10,8,644,netbios_ns,S0,tcp,201,10,255,0.04,0.07,0,1
64867,18,1152,10,8,644,eco_i,SF,icmp,1,20,1,1,0,0,1
64868,20,1276,10,10,644,courier,S0,tcp,105,12,255,0.05,0.04,0,1
64870,20,1276,10,10,644,domain_u,SF,udp,198,200,255,1,0,72,0
64871,20,1276,10,10,644,http,SF,tcp,12,12,12,1,0,1109,0
64869,20,1276,10,10,644,private,S0,tcp,14,9,255,0.06,0.07,0,1
64872,20,1276,10,10,644,http,SF,tcp,5,5,255,0.98,0.01,2507,0
64873,20,1276,10,10,644,http,SF,tcp,1,2,255,1,0,602,0
64874,20,1276,10,10,644,private,SF,udp,22,6,255,0.02,0.61,0,1
64875,20,1276,10,10,644,http,SF,tcp,3,3,255,1,0,11193,0
64878,18,1152,10,8,644,supdup,S0,tcp,227,14,255,0.05,0.08,0,1
64877,18,1152,10,8,644,http,SF,tcp,24,24,255,1,0,4083,0
